director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Robert Zemeckis,Robin Wright,Gary Oldman,Gary Oldman,Animation Drama Family Fantasy,a christmas carol
Lana Wachowski,Channing Tatum,Eddie Redmayne,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending
David Yates,Christoph Waltz,Casper Crump,Casper Crump,Action Adventure Drama Romance,the legend of tarzan
Andrew Adamson,Jim Broadbent,Shane Rangi,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
Bryan Singer,Jennifer Lawrence,Tye Sheridan,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse
Christopher Nolan,Christian Bale,Morgan Freeman,Morgan Freeman,Action Crime Drama Thriller,the dark knight
Pete Docter,John Ratzenberger,Jess Harnell,Jess Harnell,Adventure Animation Comedy Family,up
Rob Letterman,Amy Poehler,Stephen Colbert,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens
Jon Favreau,Robert Downey Jr.,Jon Favreau,Jon Favreau,Action Adventure Sci-Fi,iron man
Martin Scorsese,Chloë Grace Moretz,Ray Winstone,Ray Winstone,Adventure Drama Family Mystery,hugo
Barry Sonnenfeld,Will Smith,Bai Ling,Bai Ling,Action Comedy Sci-Fi Western,wild wild west
Rob Cohen,Jet Li,Russell Wong,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor
David Ayer,Will Smith,Ike Barinholtz,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad
Tom Shadyac,Jimmy Bennett,Steve Carell,Steve Carell,Comedy Family Fantasy,evan almighty
Doug Liman,Tom Cruise,Noah Taylor,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow
Kevin Reynolds,Jeanne Tripplehorn,Zakes Mokae,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld
Stephen Sommers,Joseph Gordon-Levitt,Leo Howard,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra
Pete Docter,Amy Poehler,Phyllis Smith,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out
Jon Favreau,Scarlett Johansson,Garry Shandling,Garry Shandling,Adventure Drama Family Fantasy,the jungle book
Jon Favreau,Robert Downey Jr.,Jon Favreau,Jon Favreau,Action Adventure Sci-Fi,iron man 2
Rupert Sanders,Chris Hemsworth,Sam Claflin,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman
Robert Stromberg,Angelina Jolie Pitt,Sam Riley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent
Matt Reeves,Gary Oldman,Kodi Smit-McPhee,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes
Roland Joffé,Tamsin Egerton,Bipasha Basu,Bipasha Basu,Action Adventure Romance Sci-Fi,the lovers
Carl Rinsch,Keanu Reeves,Jin Akanishi,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin
Anthony Russo,Scarlett Johansson,Hayley Atwell,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier
Mike Mitchell,Jon Hamm,Mary Kay Place,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after
Brad Bird,Judy Greer,Thomas Robinson,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland
Don Hall,Damon Wayans Jr.,Abraham Benrubi,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6
Rich Moore,Jack McBrayer,Joe Lo Truglio,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph
Robert Zemeckis,Tom Hanks,Peter Scolari,Peter Scolari,Adventure Animation Family Fantasy,the polar express
Roland Emmerich,Vivica A. Fox,Judd Hirsch,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence
Dean DeBlois,Gerard Butler,Craig Ferguson,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon
Jonathan Mostow,Nick Stahl,Carolyn Hennesy,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines
James Gunn,Bradley Cooper,Djimon Hounsou,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy
Christopher Nolan,Matthew McConaughey,Mackenzie Foy,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar
Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception
Hideaki Anno,Mark Chinnery,Atsuko Maeda,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Peter Jackson,Aidan Turner,James Nesbitt,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey
Rob Cohen,Paul Walker,Jordana Brewster,Jordana Brewster,Action Crime Thriller,the fast and the furious
David Fincher,Brad Pitt,Julia Ormond,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button
Matthew Vaughn,Jennifer Lawrence,Oliver Platt,Oliver Platt,Action Adventure Sci-Fi,x-men: first class
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2
Jon Turteltaub,Nicolas Cage,Robert Capron,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice
Wolfgang Petersen,Jimmy Bennett,Andre Braugher,Andre Braugher,Action Adventure Drama Thriller,poseidon
James Bobin,Johnny Depp,Anne Hathaway,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass
Chris Miller,Justin Timberlake,Rupert Everett,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third
Duncan Jones,Dominic Cooper,Ruth Negga,Ruth Negga,Action Adventure Fantasy,warcraft
Alan Taylor,J.K. Simmons,Matt Smith,Matt Smith,Action Adventure Sci-Fi,terminator genisys
Michael Apted,Bruce Spence,Laura Brent,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Jennifer Garner,Mako,Mako,Action Drama History Romance War,pearl harbor
Michael Bay,Zack Ward,Kevin Dunn,Kevin Dunn,Action Adventure Sci-Fi,transformers
Oliver Stone,Anthony Hopkins,Brian Blessed,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander
David Yates,Robert Pattinson,Fiona Shaw,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix
Mike Newell,Robert Pattinson,Rupert Grint,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire
Peter Berg,Will Smith,Eddie Marsan,Eddie Marsan,Action Drama,hancock
Francis Lawrence,Will Smith,Willow Smith,Willow Smith,Drama Horror Sci-Fi,i am legend
Tim Burton,Johnny Depp,David Kelly,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory
Brad Bird,Janeane Garofalo,Brian Dennehy,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille
Christopher Nolan,Christian Bale,Morgan Freeman,Morgan Freeman,Action Adventure,batman begins
Eric Darnell,Bernie Mac,Cedric the Entertainer,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa
Shawn Levy,Robin Williams,Steve Coogan,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian
Gavin Hood,Hugh Jackman,Dominic Monaghan,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine
Lana Wachowski,Essie Davis,Nona Gaye,Nona Gaye,Action Sci-Fi,the matrix revolutions
Chris Buck,Josh Gad,Livvy Stubenrauch,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen
Lana Wachowski,Steve Bastoni,Helmut Bakaitis,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded
Alan Taylor,Chris Hemsworth,Anthony Hopkins,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world
George Miller,Tom Hardy,Zoë Kravitz,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road
Ron Howard,Tom Hanks,Armin Mueller-Stahl,Armin Mueller-Stahl,Mystery Thriller,angels & demons
Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Anthony Hopkins,Action Adventure Fantasy,thor
Byron Howard,Chloë Grace Moretz,James Lipton,James Lipton,Adventure Animation Comedy Drama Family,bolt
Hoyt Yeatman,Kelli Garner,Niecy Nash,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force
Jonathan Liebesman,Liam Neeson,Lily James,Lily James,Action Adventure Fantasy,wrath of the titans
Tim Burton,Johnny Depp,Christopher Lee,Christopher Lee,Comedy Fantasy Horror,dark shadows
Christopher McQuarrie,Tom Cruise,Sean Harris,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation
Joe Johnston,Anthony Hopkins,Art Malik,Art Malik,Drama Fantasy Horror Thriller,the wolfman
David Yates,Christoph Waltz,Casper Crump,Casper Crump,Action Adventure Drama Romance,the legend of tarzan
Steve Hickner,Matthew Broderick,Rip Torn,Rip Torn,Adventure Animation Comedy Family,bee movie
Jennifer Yuh Nelson,Angelina Jolie Pitt,Mike Bell,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2
M. Night Shyamalan,Seychelle Gabriel,Aasif Mandvi,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender
J.J. Abrams,Philip Seymour Hoffman,Eddie Marsan,Eddie Marsan,Action Adventure Thriller,mission: impossible iii
Roland Emmerich,Channing Tatum,Matt Craven,Matt Craven,Action Drama Thriller,white house down
Simon Wells,Elisabeth Harnois,Tom Everett Scott,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms
David Bowers,Hugh Jackman,David Suchet,David Suchet,Adventure Animation Comedy Family,flushed away
Joe Wright,Hugh Jackman,Nonso Anozie,Nonso Anozie,Adventure Family Fantasy,pan
Rob Minkoff,Ty Burrell,Karan Brar,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman
Wolfgang Petersen,Brad Pitt,Julian Glover,Julian Glover,Adventure,troy
Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted
Lee Tamahori,Toby Stephens,Rick Yune,Rick Yune,Action Adventure Thriller,die another day
Paul Feig,Ed Begley Jr.,Zach Woods,Zach Woods,Action Comedy Fantasy Sci-Fi,ghostbusters
Michael Bay,Bruce Willis,Will Patton,Will Patton,Action Adventure Sci-Fi Thriller,armageddon
Barry Sonnenfeld,Will Smith,Rip Torn,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii
Robert Zemeckis,Robin Wright,Sebastian Roché,Sebastian Roché,Action Adventure Animation Fantasy,beowulf
Alessandro Carloni,J.K. Simmons,Wayne Knight,Wayne Knight,Action Adventure Animation Comedy Family,kung fu panda 3
Brad Bird,Tom Cruise,Michael Nyqvist,Michael Nyqvist,Action Adventure Thriller,mission: impossible - ghost protocol
Peter Ramsey,Hugh Jackman,Khamani Griffin,Khamani Griffin,Adventure Animation Family Fantasy,rise of the guardians
Dean Parisot,John Michael Higgins,David Herman,David Herman,Comedy Crime,fun with dick and jane
Edward Zwick,Tom Cruise,Chad Lindberg,Chad Lindberg,Action Drama History War,the last samurai
Ridley Scott,Christian Bale,Ben Mendelsohn,Ben Mendelsohn,Action Adventure Drama,exodus: gods and kings
J.J. Abrams,Chris Hemsworth,Bruce Greenwood,Bruce Greenwood,Action Adventure Sci-Fi,star trek
Sam Raimi,J.K. Simmons,Kirsten Dunst,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man
Dean DeBlois,Gerard Butler,America Ferrera,America Ferrera,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2
Alex Proyas,Gerard Butler,Bryan Brown,Bryan Brown,Action Adventure Fantasy,gods of egypt
Rob Cohen,Sam Shepard,Richard Roxburgh,Richard Roxburgh,Action Adventure Sci-Fi Thriller,stealth
Zack Snyder,Matt Frewer,Stephen McHattie,Stephen McHattie,Action Drama Mystery Sci-Fi,watchmen
Richard Donner,Jet Li,Darlene Love,Darlene Love,Action Crime Thriller,lethal weapon 4
Ang Lee,Kevin Rankin,Celia Weston,Celia Weston,Action Sci-Fi,hulk
Jon M. Chu,Channing Tatum,Elodie Yung,Elodie Yung,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation
Breck Eisner,Matthew McConaughey,Delroy Lindo,Delroy Lindo,Action Adventure Comedy Thriller,sahara
Hironobu Sakaguchi,Steve Buscemi,Jean Simmons,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within
Joe Johnston,Chris Evans,Hayley Atwell,Hayley Atwell,Action Adventure Sci-Fi,captain america: the first avenger
Michael Apted,Colin Salmon,Desmond Llewelyn,Desmond Llewelyn,Action Adventure Thriller,the world is not enough
Peter Weir,James D'Arcy,David Threlfall,David Threlfall,Action Adventure Drama History War,master and commander: the far side of the world
Bill Condon,Robert Pattinson,Taylor Lautner,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
George Miller,Robin Williams,Common,Common,Animation Comedy Family Musical,happy feet 2
Louis Leterrier,Ty Burrell,William Hurt,William Hurt,Action Adventure Sci-Fi,the incredible hulk
unknown,Don Johnson,John Diehl,John Diehl,Action Crime Drama Mystery Thriller,miami vice            
Steven Spielberg,Mark Rylance,Rafe Spall,Rafe Spall,Adventure Family Fantasy,the bfg
Alejandro G. Iñárritu,Leonardo DiCaprio,Lukas Haas,Lukas Haas,Adventure Drama Thriller Western,the revenant
David Soren,Ryan Reynolds,Ben Schwartz,Ben Schwartz,Adventure Animation Comedy Family Sport,turbo
Gore Verbinski,Johnny Depp,Stephen Root,Stephen Root,Adventure Animation Comedy Family Western,rango
Eric Darnell,Benedict Cumberbatch,Andy Richter,Andy Richter,Adventure Animation Comedy Family,penguins of madagascar
Paul Greengrass,Matt Damon,Albert Finney,Albert Finney,Action Mystery Thriller,the bourne ultimatum
Mark Osborne,Angelina Jolie Pitt,Dan Fogler,Dan Fogler,Action Adventure Animation Comedy Family,kung fu panda
Peyton Reed,Judy Greer,T.I.,T.I.,Action Adventure Comedy Sci-Fi,ant-man
Francis Lawrence,Jennifer Lawrence,Sandra Ellis Lafferty,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller,the hunger games: catching fire
Bill Condon,Robert Pattinson,Taylor Lautner,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
Tim Johnson,Jim Parsons,April Winchell,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi,home
Steven Spielberg,Tom Cruise,Rick Gonzalez,Rick Gonzalez,Adventure Sci-Fi Thriller,war of the worlds
Michael Bay,Will Smith,Jordi Mollà,Jordi Mollà,Action Comedy Crime Thriller,bad boys ii
Chris Miller,Salma Hayek,Amy Sedaris,Amy Sedaris,Action Adventure Animation Comedy Family Fantasy,puss in boots
Phillip Noyce,Angelina Jolie Pitt,August Diehl,August Diehl,Action Crime Mystery Thriller,salt
Darren Aronofsky,Anthony Hopkins,Logan Lerman,Logan Lerman,Action Adventure Drama,noah
Steven Spielberg,Toby Jones,Tony Curran,Tony Curran,Action Adventure Family Mystery,the adventures of tintin
Alfonso Cuarón,Daniel Radcliffe,Rupert Grint,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the prisoner of azkaban
Baz Luhrmann,Essie Davis,Eddie Baroo,Eddie Baroo,Adventure Drama Romance War,australia
M. Night Shyamalan,Will Smith,Glenn Morshower,Glenn Morshower,Action Adventure Sci-Fi,after earth
Eric Leighton,Alfre Woodard,Della Reese,Della Reese,Adventure Animation Family Thriller,dinosaur
Matt Birch,Rupert Grint,Ralph Ineson,Ralph Ineson,Action Fantasy,harry potter and the deathly hallows: part ii
Shawn Levy,Robin Williams,Steve Coogan,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: secret of the tomb
Tom McGrath,J.K. Simmons,Will Ferrell,Will Ferrell,Action Animation Comedy Family Sci-Fi,megamind
Chris Columbus,Daniel Radcliffe,Verne Troyer,Verne Troyer,Adventure Family Fantasy,harry potter and the sorcerer's stone
Robert Schwentke,Ryan Reynolds,Stephanie Szostak,Stephanie Szostak,Action Comedy Fantasy,r.i.p.d.
Hideaki Anno,Mark Chinnery,Atsuko Maeda,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Gore Verbinski,Johnny Depp,Jack Davenport,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: the curse of the black pearl
Matt Birch,Rupert Grint,Alfred Enoch,Alfred Enoch,Fantasy,harry potter and the deathly hallows: part i
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Josh Hutcherson,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1
Ron Howard,Tom Hanks,Jürgen Prochnow,Jürgen Prochnow,Mystery Thriller,the da vinci code
Carlos Saldanha,Miguel Ferrer,Jeffrey Garcia,Jeffrey Garcia,Adventure Animation Comedy Family Musical,rio 2
Bryan Singer,Hugh Jackman,Aaron Stanford,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller,x-men 2
Justin Lin,Paul Walker,Dwayne Johnson,Dwayne Johnson,Action Crime Thriller,fast five
Guy Ritchie,Robert Downey Jr.,Paul Anderson,Paul Anderson,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows
Louis Leterrier,Liam Neeson,Alexa Davalos,Alexa Davalos,Action Adventure Fantasy,clash of the titans
Paul Verhoeven,Ronny Cox,Marshall Bell,Marshall Bell,Action Sci-Fi,total recall
John McTiernan,Tony Curran,Clive Russell,Clive Russell,Action Adventure History,the 13th warrior
Tony Gilroy,Jeremy Renner,Stacy Keach,Stacy Keach,Action Adventure Thriller,the bourne legacy
Joel Schumacher,Michael Gough,John Glover,John Glover,Action,batman & robin
Ron Howard,Clint Howard,Molly Shannon,Molly Shannon,Comedy Family Fantasy,how the grinch stole christmas
Roland Emmerich,Jake Gyllenhaal,Sela Ward,Sela Ward,Action Adventure Sci-Fi Thriller,the day after tomorrow
John Woo,Tom Cruise,Richard Roxburgh,Richard Roxburgh,Action Adventure Thriller,mission: impossible ii
Wolfgang Petersen,Karen Allen,Bob Gunton,Bob Gunton,Action Adventure Drama Thriller,the perfect storm
Tim Story,Chris Evans,Andre Braugher,Andre Braugher,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer
Ang Lee,Suraj Sharma,Tabu,Tabu,Adventure Drama Fantasy,life of pi
Mark Steven Johnson,Nicolas Cage,Peter Fonda,Peter Fonda,Action Fantasy Thriller,ghost rider
Paul Greengrass,Matt Damon,Ato Essandoh,Ato Essandoh,Action Thriller,jason bourne
McG,Demi Moore,Justin Theroux,Justin Theroux,Action Adventure Comedy Crime,charlie's angels: full throttle
Ridley Scott,Michael Fassbender,Sean Harris,Sean Harris,Adventure Mystery Sci-Fi,prometheus
Rob Minkoff,Nathan Lane,Melanie Griffith,Melanie Griffith,Adventure Animation Comedy Family Fantasy,stuart little 2
Neill Blomkamp,Matt Damon,Alice Braga,Alice Braga,Action Drama Sci-Fi Thriller,elysium
David Twohy,Vin Diesel,Christina Cox,Christina Cox,Action Adventure Sci-Fi Thriller,the chronicles of riddick
José Padilha,Gary Oldman,Jennifer Ehle,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop
Lana Wachowski,Scott Porter,Nicholas Elia,Nicholas Elia,Action Family Sport,speed racer
James L. Brooks,Shelley Conn,Teyonah Parris,Teyonah Parris,Comedy Drama Romance,how do you know
James Mangold,Tom Cruise,Jordi Mollà,Jordi Mollà,Action Comedy Romance,knight and day
Joseph Kosinski,Morgan Freeman,Zoë Bell,Zoë Bell,Action Adventure Mystery Sci-Fi,oblivion
George Lucas,Natalie Portman,Hayden Christensen,Hayden Christensen,Action Adventure Fantasy Sci-Fi,star wars: episode iii - revenge of the sith
George Lucas,Natalie Portman,Hayden Christensen,Hayden Christensen,Action Adventure Fantasy Sci-Fi,star wars: episode ii - attack of the clones
Pete Docter,Steve Buscemi,James Coburn,James Coburn,Adventure Animation Comedy Family Fantasy,"monsters, inc."
James Mangold,Hugh Jackman,Rila Fukushima,Rila Fukushima,Action Adventure Sci-Fi Thriller,the wolverine
George Lucas,Natalie Portman,Ian McDiarmid,Ian McDiarmid,Action Adventure Fantasy Sci-Fi,star wars: episode i - the phantom menace
Kirk De Micco,Ryan Reynolds,Nicolas Cage,Nicolas Cage,Adventure Animation Comedy Family Fantasy,the croods
Frédéric Forestier,Alain Delon,Vanessa Hessler,Vanessa Hessler,Adventure Comedy Family Fantasy,asterix at the olympic games
John Woo,Nicolas Cage,Noah Emmerich,Noah Emmerich,Action Drama War,windtalkers
Cedric Nicolas-Troyan,Chris Hemsworth,Charlize Theron,Charlize Theron,Action Adventure Drama Fantasy,the huntsman: winter's war
Jonathan Liebesman,Noel Fisher,Jeremy Howard,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles
